Letter,Frequency
A,50.0778966131907
B,30.2092691622103
C,40.8846702317291
D,23.1073083778966
E,24.6778966131907
F,17.9591800356506
G,16.6153297682709
H,22.0377896613191
I,39.8060606060606
J,14.0295900178253
K,8.3030303030303
L,19.0702317290553
M,46.2520499108734
N,36.6147950089127
O,18.8413547237077
P,25.7110516934046
Q,2.07825311942959
R,26.1048128342246
S,54.3620320855615
T,58.0146167557932
U,10.2474153297683
V,5.53529411764706
W,19.1078431372549
X,1.35080213903743
Y,16.8087344028521
Z,1
a,938.285026737968
b,154.395008912656
c,349.449554367201
d,422.427807486631
e,1380.00748663102
f,231.180926916221
g,215.106417112299
h,526.890909090909
I,807.011051693405
j,11.7390374331551
k,82.1368983957219
l,455.107308377897
m,261.564349376114
n,808.47504456328
o,843.006417112299
p,223.810873440285
q,9.6650623885918
r,737.602317290553
s,746.204991087344
t,981.763279857397
u,287.579857397504
v,116.465240641711
w,181.04385026738
x,22.0279857397504
y,189.311942959002
z,11.8401069518717
 ,2279.00118835413
